user_id,allergies,liked_tags,disliked_tags,prefers_light_food,sweet_tooth,coffee_addict,microwave_trust
1,chocolate|mayo|peas,bread|chicken|fried|juice|pasta|seafood_tag|turkey|vegan,baked|coffee|compote,0,0,0,0
2,,coffee|compote|fried|tea|vegan,chicken|fresh|pasta|spicy,1,0,1,0
3,mayo,crispy|meat|pickled|savory|seafood_tag|soda|sweet,compote|fish_tag|pork|rice|vegetarian,0,1,1,0
4,,coffee|fish_tag|meat|rice|smoky|soda,grilled|juice|seafood_tag|tea|vegan,0,0,1,0
5,,bread|coffee|fiber|fried|high_protein|smoky,baked|grilled|juice|pickled|vegan|vegetarian,1,1,1,0
6,,fiber|grilled|savory|sour|tea,baked|chicken|coffee|juice|meat|seafood_tag,0,0,0,1
7,,beef|fresh|fried|grilled|juice|pasta|soda|sour|tea,chicken|fish_tag|meat|pickled|pork|vegan,0,1,0,0
8,citrus,beef|creamy|fish_tag|soda|sour|spicy,chicken|meat|pasta|seafood_tag|vegan,0,0,0,1
9,,baked|chicken|creamy|fiber|low_cal|meat|pasta|smoky|tea,bread|fried|sweet|turkey|vegetarian,1,0,0,0
10,gluten,baked|coffee|creamy|fresh|high_protein|low_cal|potato|sweet|tea,compote|grilled|rice|spicy|turkey,1,0,1,1
11,,baked|fresh|grilled|pasta|potato|rice|smoky|soda|vegetarian,seafood_tag|sour|sweet,0,0,0,1
12,,fiber|juice|meat|turkey|vegetarian,beef|crispy|fresh|fried|grilled|sweet,1,0,0,0
13,,creamy|crispy|high_protein|meat|savory|sour|turkey,baked|fresh|rice|vegetarian,1,1,0,0
14,egg,beef|coffee|fish_tag|high_protein|pork|seafood_tag|soda|sweet|tea,compote|pickled|potato|vegetarian,1,0,0,1
15,,coffee|fresh|pickled|tea|turkey,chicken|grilled|vegetarian,0,1,0,1
16,egg,boiled|coffee|fresh|juice|pasta|pork|rice|vegan|vegetarian,low_cal|savory|soda|tea|turkey,1,0,1,1
